,review_id,user_id,business_id,stars,useful,funny,cool,text,date,Date_Only,Date_Hour
646150,s82DoR3FSIWbcmrKzDPrTg,1jUMhPy6fQtO48HDRL-Xxg,QAnr9-jRd9lqSsE6Nb5WNA,4.0,0,0,0,"I have so many warm memories of eating here growing up.  Love their combination pizza (thick crust, house made sauce, custom meats).  Cannot believe this place doesn't average four stars on Yelp.",2017-12-01 00:04:44,2017-12-01,0
63846,ntJUC1wwrXbTeCZPleVY9w,FWwazUVgyVrFzSFeFn6hQQ,_JlTf8X3R1v3igOYthZdkQ,3.0,10,7,8,"I've got to say it... I was underwhelmed by this place. Some of the wines were good. I enjoyed the almond sparkling and the Zin was tasty. The Pinot noir was not my favorite. The Cooper's Hawk Red was flavorful and bold, but not my style.

Although the food was decent, I was disappointed by the selection. The price was about what I would have expected there - about $17-$30 per plate. But the ambiance was loud. The acoustics in there were pretty terrible, and I'm not sure why - there was carpet. Maybe they need more sound panels throughout. There is a lot of glass. It really made our dinner with a large group less enjoyable. 

The tasting room looked fine - probably the closest you will get to wine country in Orlando. It was packed, which was odd for a Wednesday night (maybe they have some sort of happy hour?) 

To be fair, I did just live in Northern California for the lasts four years - about an hour from Napa and Sonoma. 

Something about this place just seemed contrived. It felt like the Disney World of wine tasting, but again, maybe that's because I've been living the real thing and know the difference. In California I'm not considered a wine snob, but I think now that I'm back in Central Florida, I need to wear that title with pride.",2017-12-01 00:05:06,2017-12-01,0
1759506,YP7UT1pILhR_QeuW-DksXg,p6vL73OugVtuakBc6p_IIA,pIAgbw9zXdykR3qT4iU68A,5.0,0,0,0,"Have been twice and loved it both times.  My favorite is the cheese pizza, but also really enjoyed the pepperoni.  My husband really enjoyed his pizza but I can't remember which it was.  It was something with mushrooms.",2017-12-01 00:05:08,2017-12-01,0
1184358,YRWyWgDEHwk_Q7cp5wMlMg,BNb4RQkiOhK7F4Chcnmy9g,xZ22_0eJOgaiKqIhoSHrPw,3.0,0,0,0,Ok place to eat. Somewhat expensive but the menu is posted outside so no one should be surprised. Good location and extensive menu. I tried the lobster roll. It was good but a little on the small side. Good service though.,2017-12-01 00:06:01,2017-12-01,0
905829,0DEp3FSfy3vRwunMH5ElHA,Pvwmu7SCbWh1pKPl80myvw,fnSCOXXY4GAvy6T8l-Rg1Q,4.0,0,0,0,"I've only been here twice and I got the same thing - the Tom Kha - which is so dang bomb! It is the perfect mix of coconut milk, lemongrass, ginger, and lime juice. I know not many people I know like this combination of flavors. But because of where my parents are from in the Philippines, I LOVE coconut milk everything. I usually buy a bowl with a side of rice which comes out to 7$. They also recently renovated and the location is much bigger and roomier. I've had their Thai iced tea, which is classic. They also serve these light chips with sweet chili sauce which I am so down with. 

I actually went there for the 3rd time today for lunch. I tried the panang curry for lunch today and it was delicious! Definite one of the best. The only drawback was the service. The service was terrible. There were only servers taking orders, serving water and apps, bringing food out, etc. Everything took way too long. I hope that they hire more people soon so that service will be better and quicker.",2017-12-01 00:06:48,2017-12-01,0
1529893,_SpjTgW_h48I5CBIfj7_rA,o83aaF_B62hitxOI41K9pw,HKXrvsk7yAuH6dHmMd0MMA,4.0,0,0,0,"We were staying at Disney's All Stars Movie hotel and the food was blah (too high in carbs--the choices there of sides were baked potato, fries or canned corn) so we came here for a few meals where we had much better food choices and salads as our sides. There were also college aged staff in the dining room who were playing with and offering arts and crafts for young kids...what a nice service!  We also enjoyed walking around the hotel; pretty landscaping and theme choices!  Thank you Art of Animation...next time we'll stay with you.",2017-12-01 00:06:55,2017-12-01,0
2056524,0f4aJAsBmiGGcyStv3kqEA,IC89OkzILJzYpLKbyqxmMQ,8BrcB3JT6UlW-RGsFdQIMA,5.0,0,0,0,It was crazy busy but Sara rocked it. She ran around making sure every table was pleased with her service and the quality of food is simply outstanding. Eat here!!!!!,2017-12-01 00:06:58,2017-12-01,0
1240862,b7gZ5MZLOP0HZLUjQmf8sw,O3nhfuz6W4wlmIQgM_Oo2g,p-u9u4C5Ler_-9YXua320Q,5.0,9,2,4,"Breweries seem to be popping up all over metro Atlanta, but what I haven't seen is any cideries. So of course, when you do find one, you must visit as soon as possible. 

My friend and I came on a Saturday afternoon and it was super chill. I feel like many brewery tours are limited to a few hours and I'm just chugging my beers and trying to use up all my drink tickets before last call. Urban Tree Cidery is unique in being able to just chill in the main room at one of the many tables, with some board games to choose from or a tv showing some college football to watch. 

You can order cider flights, cider cocktails or just pints of cider. We started off with some cider cocktails, with an order of the Kirkwood, which was a gin cocktail. They were DELISH. They were pretty light and sweet and tasty but strong all at the same time. If you have the time or the designated driver, make sure to give some of these cocktails a try. 

We also wanted to try the various ciders on tap so my friend and I each ordered our own flights. Maybe I'm a simple person but I tended to prefer the classic ciders versus the complex flavors of ginger or floral additions. 

Urban Tree Cidery is definitely my idea of a good time when looking for a chill boozy time. Or hey, maybe it's a good way to start turning up your Saturday night, whatever floats your boat!",2017-12-01 00:07:11,2017-12-01,0
1784110,xRv-DGAW2qVHWBCKpmwsog,yzL8pdvIjLsTs1ZlUw864A,F8j3Umo_FqtFe32ivqhCKA,1.0,0,0,0,"I was stranded at the Lloyd Center in the rain for over an hour after Portland Taxi told me that it would be 10 minutes. 
I called quite a few times only to hear that he was on the way.
When a Green Taxi showed up I was not sure, but he said that he was called 4 minutes before he picked us up.
This is no way to treat a visitor to this fine city.
I will let my downtown hotel know that I will never ride in a Portland Taxi again.
This almost ruined our trip. The Portland Taxi dispatcher lied again, and again. I will let everybody that I know home in Seattle and those in Oregon about this terrible service.
Bob Milton",2017-12-01 00:07:46,2017-12-01,0
2619680,ftzMlpp6R0sngLOJGzoDGQ,cS69rkUd_Qx2His49O6kvg,aVDBaQRHLCA4M43OjPNn_Q,5.0,0,0,0,"Great experience buying a used truck. I walk the car lot with the salesman who showed me what they had available in my price range. I didn't see exactly what I wanted so the salesman took my contact information and over the next two weeks sent several pictures of vehicles that he thought would fit my needs. Eventually the salesman found a match for me. I drove to the dealership, took the truck for a test drive, and ask him to do things to the truck. The salesman took care of my list and called me a few days later letting me know the truck was ready

The buying process and financing was very easy. The fine folks at Capitol Chevrolet worked hard to get me the best interest rate available and took the time to explain the options in terms that were easy for me to understand. Everyone from the salespersons, financing, and even service department treated me like a customer and never like a number. 

Capitol Chevrolet will get my business again!",2017-12-01 00:08:10,2017-12-01,0
1410323,nJ-MlCGD0XkYWdkQuhBA9A,1xthPThbvgVfITyBPDs-5A,GK1TxzgsOycUbF_b-hImAQ,1.0,10,1,1,"A family member was admitted from an area hospital on a 1013 hold after self-harm.  The behavioral health person at the hospital indicated that during the 72 hour hold, he would be receiving group and individual therapy.  He was also told that his special dietary needs (due to a food allergy) could be accomodated and that Peachford had a chef who would provide meals he could eat.  The person who did the initial intake was efficient and once that was complete, family members had to leave.  At this point, he was taken to the unit and assigned to a room.  He was told that he would see the psychiatrist who would be treating him within a couple of hours.  He also had a newly stitched wound that should have received medical attention throughout his stay.  He was provided a meal during the intake process, however, once he was placed in a unit, he was only given the options in the cafeteria, which meant that he had very little to eat.  He did not see a psychiatrist that day (intake was on a Thursday morning about 9:00 a.m.), that night or the next morning.  His wound was not monitored.  Most disturbing, he was not given the anti-depressant medication that he was prescribed, even though stopping it abruptly was dangerous.  He attended various group therapy sessions, none of which were specific to what he was being treated for (depression) but were focused on substance abuse.  There was also a lot of religious propaganda in these sessions, although this hospital is not affiliated with a church of any kind.  He finally saw a physician that afternoon for literally two minutes.  The doctor looked at his information, did not look at the physical wound, did not release his regular medication to the nurses to give him, and told him that he would not receive any individual counseling because ""this is not that kind of facility.""  That night, he was given medication that was not his regular meds, but an anti-psychotic because ""everyone has to take them.""   We called his regular psychiatrist and reported what was happening to him; he was concerned about him not receiving his regular medication and going into withdrawal, and called the psychiatrist on staff to ask about this.  He was never contacted back by the hospital.  The next day passed without receiving medication and the entire family became extremely concerned.  He decided to request to be discharged against medical advice, which was a BIG mistake, as this simply gave them the right to hold him longer (more $$$).  He was also no longer allowed to eat meals in the cafeteria because his request was considered a danger for him to try to run away.  Still not receiving medication and being forced to take anti-psychotic.  Supposed to be getting a daily visit with the psychiatrist - one of these ""visits"" occurred in a hallway when our family member happened to run into the doctor.  When a visiting day came, we arrived and were directed to the wrong unit THREE TIMES by the staff at the lobby desk.  After four days without his prescribed medication, he was finally given it.  The wound had still not been monitored at all.    Four days after admitting, we were given an appointment (called family therapy - it's not) to get ready to release, but it was the weekend.  The doctor wouldn't release him that day.  FIve days after admitting, he was released.  

This hospitalization was a horrible experience for someone who was in need of help.  Basically, they hold your family member for a certain number of days without providing any treatment whatsoever.  (If you don't have insurance, they will send you home, however.)  It was of no help at all.  We were fortunate afterward to get good help after the hospitalization, which helped tremendously, but this could have been an experience that made the entire situation worse.  The staff were mostly rude and often seemed incompetent.  The social worker who did the release ""family therapy"" was nice, but she basically asked a bunch of questions that were a legal ""cover your ass"" for the hospital.  Dr. Naveed Ummed was rude and seemed uninterested in doing anything beyond checking the boxes he has to check to get his paycheck.  To say he has no bedside manner is an understatement.  

I have to assume that Peachford is actually geared to treat people with substance abuse problems and I hope they do it better than they treat people with mental health issues.  Would I ever, ever recommend it?  Never.",2017-12-01 00:08:23,2017-12-01,0
903648,-YYpYZMGTzj2tOrIDA-Zkw,SCDlBvTPZf6hC3tdCSRFEQ,HUDBn-LRfvAry-kJR-iTIw,5.0,0,0,0,"It's one of those things that you either know or don't know. If you know Teuscher then I'm assuming youre chocolate connoisseur and you don't mind paying. I've been buying chocolate since for 15 years. The owner and his staff are knowledgeable about the product. I love the Baileys, the milk chocolate champagne truffles and the Butter Crunch truffles. No it isn't cheap and yes every piece of chocolate here is worth the price.",2017-12-01 00:08:33,2017-12-01,0
2369450,P4VF4xQ5BJ4WpEHUYEElmQ,oRDISKHBQoPzEyR-106LJg,GBCC-h7P97FfQe7X7DNH4A,4.0,0,0,0,Good spot to add to your Mexican restaurant rotation. Great avocado rolls and fajitas.. awesome drink specials almost every day of the week.. definitely a hit,2017-12-01 00:08:36,2017-12-01,0
339923,u4uT4HPhob3BkBAIogvi4A,4DxCQzJoXfniFEJlRb5pDw,JVPvaUqVZ2SAzSZ3ypDb4Q,5.0,0,0,0,"Love this nail salon.  Vey friendly staff, and they do a great job.  I've been very pleased each time I have had either a full set or a mani/pedi. This is definitely my go-to nail salon.",2017-12-01 00:09:24,2017-12-01,0
1192407,OkYXvTOrjxILvAhjZDYDjg,76OqMfIiNMXg7_RqK3O3GQ,RKE2VLido8SY7xEuEzm4UA,4.0,0,0,0,"So after cruising down Narcoossee looking for a place to eat, I happen to see the Thai sign at the corner of my eye and decide why not.  With plenty of parking options, I pulled in and walked to the door.  The restaurant doesn't open until 5pm (not sure what the hours prior are) and I had gotten there at 4:59pm.  As soon as I get to the door it is unlocked and in we go.  It is nicely decorated and very clean.  First impression of the restaurant looks positive. 

Once I am seated, I am greeted by my waiter who doesn't seem to know much English but she is kind enough.  She isn't chatty at all but she was not rude, just a tad indifferent.  She brings my water and gives me a moment to go over the menu.  The menu has so many traditional options as well as what appeared to be Chinese food options.  I settled on the Spring rolls and Pineapple Fried Rice.  Doesn't take long and the spring rolls arrive.  Delicious but small portion. Later, the Pineapple Fried Rice comes and its literally the rice in the pineapple! Love it! I had never seen that before and it did add a nice smile to my face.  The food was just as good as the presentation.  It came with peanuts on the top which I didn't like but that is on me since I didn't read the item description fully.  I simply pushed the peanuts to the side and went to town.  It was awesome.  

I would definitely go back here again and try the other traditional thai options such as Pad Thai or Pad See Ew.  Only reason why this place doesn't give a full five stars was because my waitress was a little AWOL and I ended up having to call someone else to fill my water and bring more sauce.  The waitress definitely felt bad as she then began to hover near my table but at that point I was nearly done.  I know it seems harsh to knock a star for that but I keep it real with my reviews.  I am sure next time I go there, it won't happen again.  I look forward to coming back!",2017-12-01 00:09:47,2017-12-01,0
618318,bdVK-VRDET59jER8F9h9jQ,8kRrmBCPSWG5Ov7OTowxBQ,3KsTg-gxz81HTJA2rco04w,5.0,0,0,0,"I LOVE this store. The people are fun and friendly, and they have a good selection of quirky things that my teenager loves. Prices are reasonable and it is in Kenton. Who doesn't like Kenton?",2017-12-01 00:09:54,2017-12-01,0
2194580,oQNqlB0ULNNstXwwsOoheg,oW5pxnBbhbxGkOpCZlkiFg,cqzZNFoItwITYIkxtZgNnA,3.0,1,0,0,"Local wanted to give this place a try for breakfast on a Saturday mid morning. 

Fortunate to see an open booth on a ""seat yourself"" day when we arrived, place was full, continous line of folks ready to eat. Service was prompt, polite and attentitive throughout.

Had the featured dish, biscuits and gravy with one egg, lots of food on a half order, plus a bacon egg potato taco.

While the meal was good, expected it to be a bit more. Definitely a ""stick to your ribs"" meal kind of place, locals like it, eclectic crowd. Maybe the burgers rule here?",2017-12-01 00:10:02,2017-12-01,0
1467107,ozuQrDoGPhOW4wwXxz9ibw,B2lpwx3Xh32DDE7roqyhgg,1qWw8GmJC5mWpyczRO4nfw,5.0,0,0,0,Need I say more than this picture and the best meal south of the Mason Dixon line my jersey buddy has ever had.,2017-12-01 00:10:20,2017-12-01,0
906517,31kFy2n-e45RK9ptc4HK3A,sfuNHnuwmnnwInPF_tdGZA,bdWj8_TgF8cmiWMJC6qpCw,5.0,1,0,2,"Really great, fresh seafood, and friendly fast service. I tried the seared tuna sandwich, crab cake sandwich, and clam chowder. The crab cake might have been the best I've had, and the roll they served it on was much better than the classic sandwich bread. I haven't tried the lobster yet, but everything else was better than the many high end seafood restaurants in Boston I've been too over the years. Only negative is it's not cheap, but seafood this good shouldn't be.",2017-12-01 00:10:49,2017-12-01,0
59472,ZeFCx5yvlpHW3HGOFTO6uQ,G6H91JWJ-m_AFTey1fSupg,UWmHJ5vJuLu4ZsP7DCWx8Q,5.0,3,0,0,I love this place. Partner is a vegetarian and we love the thali. So good. Come hungry.,2017-12-01 00:11:01,2017-12-01,0
1243777,0Z-nfnhMD5xzMQV2LjWGOw,7OmAL9eqWkxkYBTG-S1GFA,_zhfZvRPIfqEKM7YoIurgQ,5.0,0,0,0,"Awesome place.  Good was great.  Deliver d hot and on time.  Used Brando's advice about cheesy garlic and it didn't disappoint.  When in the Kissimmee area, definitely worth the trip!!!
Thanks Brandon - we'll be back for sure",2017-12-01 00:11:14,2017-12-01,0
2269314,q4TQwPPuaLmThBAubY_ECQ,Pq_lmj1IwWvNuKdZ_Asefw,pMH9yu-vo3WRybeOyxR9Ag,5.0,0,0,1,"I am thankful for Dr. Tyree and his staff.  He is very knowledgeable, patient and has a great sense of humor.  His hygienist, Lisa, did a thorough job on my teeth.  The office manager, Mary, knows her job well answers all my questions.
They have always made me feel welcome. Thank you for all you do.",2017-12-01 00:11:19,2017-12-01,0
2346306,sY892w7O-JntwoZx7Bzuaw,EQEpbzdta4KE7_wLCDG-dA,7g_gmU3uW1Iqf2mwMrphUg,3.0,1,0,0,"LaRosa's was ordered for my team at work. We got a total of 8 pies: 1 cheese, 1 pepperoni, 1 veggie, 1 bbq chicken and the rest were of the meat variety. I didn't love it. It's too saucy and had too much toppings. The cheese would also come off after one bite and the slices were fairly large so that's pretty annoying. I would prefer Donatos 10/10 times over LaRosa's. I'm not really sure what the pricing was but I can't imagine this was cheap pizza so I would argue it's not worth your dollar.",2017-12-01 00:12:01,2017-12-01,0
1755098,5Merfey8S-ZnBfZ4wYj-qg,8kRrmBCPSWG5Ov7OTowxBQ,aS0YJJtwHwoaa7HvA9VGJw,4.0,0,0,0,"Good food, fast. I still don't understand the iceberg lettuce ""salad"", though. My kid likes the orange chicken and I like the teriyaki. The Pad Thai was a little off for my taste. Stop using Styrofoam for to go boxes and it will be perfect.",2017-12-01 00:12:59,2017-12-01,0
633921,iJjRY_QLTmQPgzLYj_u78w,_kLWnM79x53oHbsQWVBzgg,KeFdJKvXZ_ePV_yiUEglRA,5.0,0,0,0,"I was looking for a good Cuban sandwich and this bbd did not disappoint. Great food - a food Cuban and not greasy, location was great for patio dining, and would def go back. Parking was a little tight, but worth the effort.",2017-12-01 00:13:06,2017-12-01,0
1198877,JVxmVxL9SFRsqyuNyM9Q7A,94ms5rILS-07wJYl9nBfiw,sO4xqzfIrD6b3fp-JN3eRQ,1.0,1,0,0,"Ordered through Yelp on the Eat24 app, paid with Apple Pay, and thought it wow that's great and easy. I even got a confirmation stating my pickup was confirmed ready for 6:48pm. Showed up at 6:50 and they didn't have it ready for even started. Sat in restaurant for another 20+ minutes waiting. Had to ask where my order was. Not a good first experience!!",2017-12-01 00:13:10,2017-12-01,0
2365782,6RLD1zlu_g4pF-svr8Jacw,RmABIkGqutI4cPExNIGY8Q,wdOeENwrI1GREpG4XjjS9A,5.0,2,0,0,I've only eaten here via Uber so this is 5 stars on the food only.  It's so good!  We love the gobi Manchurian and the Chana masala.  Samosas are also some of the best we've had.  And I like that they specify what is vegan (sometimes with Indian food hard to know what's been hit with cream).,2017-12-01 00:13:51,2017-12-01,0
1204462,_1QLkz81NFoGb4mbNO-BOw,SCDlBvTPZf6hC3tdCSRFEQ,NYa-JphaaB41ElGsb3iawA,5.0,0,0,0,"What can I say about another one of Ken Oringer's creations that hasn't already been said? The taps are creative and they are delicious. The cocktails are strong, properly made with an artisanal craftsmanship to it if you can believe it in this super busy place. The actual place is very Meatpacking District NYC but in the less crowded and congested South End neighborhood in Boston. It's one of those must go and must know in a city where most other non American cuisines are not the most true to form",2017-12-01 00:13:55,2017-12-01,0
1471011,MssH5II6TeEEnisk3tiN8g,sR9YcIMIUHpeXs8Q7ZfUIg,UiM8n-m4D9D9I9P836RILg,2.0,0,0,0,"Place was clean. Staff was very nice and attentive. Probably the worst General Tso's I've ever had. VERY small pieces of chicken when there was some. Seemed mostly like it was just bits of breading (think bottom of a bag of chips). It also had some type of sour mushrooms. The hot & sour soup was ok.  Like I said, staff and place was good, but since I'm there to eat...doubt I'd try it again.",2017-12-01 00:14:17,2017-12-01,0
2550305,AfKexNut7ibhOqjRnN_IJQ,AfEdnYXgtWgV98YonwzxOw,NOKonyxtPAaXWCBseiUcnw,2.0,1,1,0,"Stay away from Henna's Service Department! My Tahoe has been at Henna for 5 weeks now (with no loaner car) to get the rear A/C lines replaced: it took 2 weeks for someone to even look at the vehicle because Felix didn't bother answering calls or communicating after he'd told me at my appointment that it'd probably not be looked at for 2 days (the vehicle was looked at the same day that I got in touch with the service department manager Mark Wilson); another 1 week because of my third party warranty company; and now yet another 2 weeks because the mechanic works on it ""when he can."" I'm told that he gets frustrated working on it and then works on something else. I'm sorry, but I have been paying for a month's car loan and insurance and getting no use out of it. I don't know why I didn't check online reviews (Facebook, Google, Yelp, etc.) before blindly taking my vehicle to Henna. The service department works hard to earn their overwhelmingly one-star reviews. In fact, I think my service advisor (Felix) has been mentioned the most in 1-star reviews. Frequently, the GM Mark Rowe responds to Yelp reviews with generic responses. For comparison, on Facebook and even Yelp, the number of 1-star reviews for Covert GMC is MUCH, MUCH lower, and many of them are responded to by the owner. Sometimes those reviews have a follow-up from the original poster saying ""resolved to my satisfaction."" My wife and have had ""pleasant"" experiences obtaining service (including major service) for our various previous vehicles at dealerships ranging from Saturn to Covert GMC to Subaru of Austin to Maserati of Austin, and Henna has mind-blowingly, astoundingly poor customer service. If Felix had bothered to stay on top of the status of my vehicle and communicated from the start, I wouldn't be leaving this review. While still deployed a couple of months ago, I called initially to set up an appointment to bring my vehicle in, and I had to explain the desire to set up the appointment to three separate people before finally receiving an appointment. I later had to cancel that appointment because I was delayed in returning home, but I should have thought to check reviews given that incredibly inefficiency on the phone. In my opinion, Henna has one of three potential issues: 1) the dealership's acceptable service standard is to maintain a certain percentage of irate customers in order to minimize time spent on customers, 2) Felix is the worst project manager I've ever known (and I know a few incompetent ones), or 3) the service advisers are insanely busy and can't keep up. Any one of those three is the dealership's responsibility to fix if they want to have any repeat customers. Again to compare to Covert GMC, after my vehicle had been at Henna for 3 weeks I called Covert GMC up to find out the estimated time and cost to fix the A/C lines. The lady who answered the phone took the time to speak with service advisors and parts personnel to give an accurate quote, and swore up and down that the only time a vehicle was lost in the shop for 2 weeks was when they had a service advisor quit on them. Again, this was done with Covert GMC knowing that the vehicle was already in the shop at Henna so they were unlikely to get the business. Based on my experience and many online reviews, Henna has set themselves up as the gold standard for amazingly horrible customer service in the service department. I guess they need the countless 5-star reviews for their sales department in order to stay in business. Or perhaps the ""little guy"" like me always gets pushed for the fleet service like TxDPS.",2017-12-01 00:14:28,2017-12-01,0
1740493,wpVktMgT9SCkvGJgqdEddQ,8kRrmBCPSWG5Ov7OTowxBQ,9zOO6leKKxSvWU53m19yTg,5.0,0,0,0,BEST donuts in the Couve. I got a dozen for my kiddo instead of a birthday cake and it was a hit! Yummy raspberry fritter and buttermilk bars.,2017-12-01 00:14:30,2017-12-01,0
